customer_hierarchy;product_line;month;month_no;actual_sales;open_backlog;backlog_conversion_probability;expected_backlog_revenue;budget;roll_forecast;statistical_demand_forecast;raw_ai_forecast;final_ai_forecast;forecast_low;forecast_high;confidence;risk_flag;explanation
71814 - Komet USA;123_10 Standard;Jun 2026;6;0.0;0.0;0.0;0.0;138139.28;159439.46;138977.48;135580.98;107327.51;96594.76;118060.26;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
71814 - Komet USA;123_10 Standard;Oct 2026;10;0.0;0.0;0.0;0.0;165311.22;160700.46;138233.31;143338.74;108613.36;97752.03;119474.7;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
71811 - Komet France;242_10 für Oberflächen;Nov 2026;11;0.0;87398.4;0.7;61178.88;75065.83;127891.19;155526.37;101722.42;76132.71;68519.44;83745.99;medium;volatile;"volatile segment; blended backlog, seasonality, budget, and roll forecast."
83102 - Deutschland;M202_10 Stahl;May 2026;5;4617.6;7902.0;0.7;5531.4;92493.2;79837.69;33465.48;32461.09;28268.84;25441.96;31095.73;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
88311 - Türkei;n/a;Oct 2026;10;0.0;0.0;0.0;0.0;32276.35;24117.41;184972.32;99532.63;75419.76;67877.79;82961.74;medium;volatile;"volatile segment; blended backlog, seasonality, budget, and roll forecast."
71814 - Komet USA;123_10 Standard;Aug 2026;8;0.0;0.0;0.0;0.0;166260.49;161022.65;148927.6;145465.64;111516.2;100364.58;122667.82;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
81422 - Israel;M203_10 Stahl;Aug 2026;8;0.0;0.0;0.0;0.0;9355.4;0.0;118241.48;63798.44;48908.87;44017.98;53799.75;medium;volatile;"volatile segment; blended backlog, seasonality, budget, and roll forecast."
71814 - Komet USA;123_10 Standard;Sep 2026;9;0.0;0.0;0.0;0.0;155773.78;160289.87;135110.44;144162.17;111563.79;100407.41;122720.17;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
83102 - Deutschland;M151_10 Oszillierend;Nov 2026;11;0.0;0.0;0.0;0.0;187755.76;198448.58;217147.2;200559.32;150105.8;135095.22;165116.38;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
71813 - D+Z;n/a;Oct 2026;10;0.0;4000.8;0.7;2800.56;143262.33;125723.65;156069.79;102259.04;77485.67;69737.1;85234.24;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
71811 - Komet France;242_10 für Oberflächen;Oct 2026;10;0.0;87398.4;0.7;61178.88;81981.94;122066.95;145069.64;97701.84;74032.5;66629.25;81435.75;medium;volatile;"volatile segment; blended backlog, seasonality, budget, and roll forecast."
81202 - Schweiz;M212_10 zweiteilig maschinell;May 2026;5;85085.0;0.0;0.0;0.0;35000.0;77000.0;112199.2;143112.95;124630.37;112167.33;137093.41;medium;volatile;"volatile segment; blended backlog, seasonality, budget, and roll forecast."
81207 - Argentinien;M182_13 Sonstige;Jul 2026;7;0.0;0.0;0.0;0.0;0.0;0.0;60143.33;60143.33;47559.97;42803.98;52315.97;low;sparse;"sparse segment; blended backlog, seasonality, budget, and roll forecast."
81303 - Irland;M162_12 Vollhartmetall;Jun 2026;6;0.0;328704.0;0.7;230092.8;246528.0;256666.44;323552.81;264819.28;209634.09;188670.68;230597.49;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
81205 - Spanien;M201_10 Stahl;Aug 2026;8;0.0;1420.0;0.7;994.0;7835.0;58893.33;8772.02;15497.67;11880.75;10692.68;13068.83;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
81202 - Schweiz;M203_10 Stahl;Jun 2026;6;0.0;0.0;0.0;0.0;159179.01;164815.95;147214.98;149109.08;118036.52;106232.87;129840.17;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
73104 - 99-er Bezirk;n/a;Sep 2026;9;0.0;0.0;0.0;0.0;280404.16;193.49;150.0;60177.43;46569.93;41912.94;51226.92;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
71463 - Russland;231_12 Knochenfräser grazil konisch;Dec 2026;12;0.0;0.0;0.0;0.0;84417.69;84294.26;33285.42;54529.25;38494.1;34644.69;42343.51;medium;volatile;"volatile segment; blended backlog, seasonality, budget, and roll forecast."
71813 - D+Z;n/a;Aug 2026;8;0.0;13545.12;0.7;9481.58;135488.77;112103.48;144547.45;86538.27;66341.57;59707.41;72975.73;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
71814 - Komet USA;123_10 Standard;Jul 2026;7;0.0;0.0;0.0;0.0;165535.03;161941.18;140232.03;147176.58;116383.88;104745.5;128022.27;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
71463 - Russland;231_12 Knochenfräser grazil konisch;May 2026;5;4737.3;71234.6;0.7;49864.22;84240.15;83937.65;29169.12;44329.52;38604.5;34744.05;42464.95;medium;volatile;"volatile segment; blended backlog, seasonality, budget, and roll forecast."
81204 - Niederlande;M153_10 Oszillierend;Nov 2026;11;0.0;0.0;0.0;0.0;97430.84;96571.49;53197.53;69000.23;51642.25;46478.03;56806.48;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
88418 - Indien;n/a;Nov 2026;11;0.0;0.0;0.0;0.0;216244.88;218321.09;292229.64;231900.44;173562.62;156206.36;190918.88;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
83102 - Deutschland;M209_10 Sonstiges;Jun 2026;6;0.0;83242.0;0.7;58269.4;25398.97;91086.48;81508.67;59501.29;47101.93;42391.73;51812.12;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
