customer_hierarchy;product_line;month;month_no;actual_sales;budget;roll_forecast;seasonal_ytd_forecast;trend_3y_forecast;recommended_forecast;reconciled_forecast;top_down_target_month;reconciliation_factor;delta_vs_roll;delta_vs_budget;delta_reconciled_vs_roll;delta_reconciled_vs_budget;method;risk;active_history_months;ytd_growth_used
81814 - Komet Medical USA;M191_10 Sonstige;Dec 2026;12;0.0;170078.03;116359.89;387668.67;196926.84;236832.54;202717.7;14736597.28;0.85595374;120472.65;66754.51;86357.81;32639.67;segment_ensemble;volatile;21;0.6
81202 - Schweiz;M209_10 Sonstiges;Jun 2026;6;0.0;190670.3;226593.5;95217.33;119595.46;155581.34;141365.51;16404125.2;0.90862764;-71012.16;-35088.97;-85227.99;-49304.79;segment_ensemble;volatile;60;0.6
83102 - Deutschland;M209_10 Sonstiges;May 2026;5;2291.4;34038.65;117134.46;2184.43;25285.76;30928.5;32019.78;16175610.38;1.03528394;-86205.96;-3110.15;-85114.68;-2018.87;may_runrate_blend;normal;57;-0.040653
81202 - Schweiz;M203_10 Stahl;Dec 2026;12;0.0;152446.21;210798.34;119367.8;113910.97;149676.51;128116.17;14736597.28;0.85595374;-61121.83;-2769.7;-82682.17;-24330.04;segment_ensemble;normal;60;-0.061971
81210 - Brasilien;M208_10 Stahl;Sep 2026;9;0.0;75000.0;75000.0;278180.0;252100.62;172678.09;157061.34;17613222.7;0.90956148;97678.09;97678.09;82061.34;82061.34;segment_ensemble;volatile;33;0.6
83102 - Deutschland;M203_10 Stahl;Aug 2026;8;0.0;347479.07;405922.45;381380.56;302448.11;367200.79;325334.76;13916935.45;0.88598601;-38721.66;19721.72;-80587.69;-22144.31;segment_ensemble;normal;60;0.216465
81202 - Schweiz;M201_10 Stahl;Dec 2026;12;0.0;120965.57;175026.22;78620.48;71715.48;112272.44;96100.02;14736597.28;0.85595374;-62753.79;-8693.13;-78926.2;-24865.55;segment_ensemble;volatile;60;0.6
81202 - Schweiz;M201_10 Stahl;Jul 2026;7;0.0;165947.83;227702.85;153420.38;79630.05;164054.31;149679.94;16472643.23;0.91238039;-63648.54;-1893.52;-78022.91;-16267.89;segment_ensemble;volatile;60;0.6
81202 - Schweiz;M151_10 Oszillierend;Dec 2026;12;0.0;243772.47;313881.82;291064.1;228857.07;275614.57;235913.32;14736597.28;0.85595374;-38267.26;31842.1;-77968.5;-7859.15;segment_ensemble;normal;60;0.206983
81202 - Schweiz;M152_11 Reziprok;Oct 2026;10;0.0;933.24;102081.15;2431.73;2558.01;26988.41;24332.19;18083332.61;0.90157939;-75092.75;26055.17;-77748.96;23398.95;segment_ensemble;normal;55;0.107195
81603 - USA ohne VU;M151_10 Oszillierend;Oct 2026;10;0.0;457865.31;262148.97;447388.06;255777.12;374955.96;338052.57;18083332.61;0.90157939;112806.99;-82909.35;75903.6;-119812.74;segment_ensemble;volatile;60;0.6
83102 - Deutschland;M203_10 Stahl;Oct 2026;10;0.0;332796.84;327879.44;260103.35;168892.9;281539.18;253829.92;18083332.61;0.90157939;-46340.26;-51257.66;-74049.52;-78966.92;segment_ensemble;normal;60;0.216465
81303 - Irland;n/a;Dec 2026;12;0.0;0.0;0.0;95772.48;60494.23;85189.01;72917.85;14736597.28;0.85595374;85189.01;85189.01;72917.85;72917.85;segment_ensemble;volatile;46;0.6
81204 - Niederlande;n/a;Dec 2026;12;0.0;0.0;-72826.0;0.0;0.0;0.0;0.0;14736597.28;0.85595374;72826.0;0.0;72826.0;0.0;segment_ensemble;normal;27;0.092621
81202 - Schweiz;M151_10 Oszillierend;Sep 2026;9;0.0;279016.54;308460.4;241835.43;206020.7;262414.74;238682.34;17613222.7;0.90956148;-46045.66;-16601.8;-69778.06;-40334.2;segment_ensemble;normal;60;0.206983
